season,offense,team_off_snaps
2021,INND,1098
2022,INND,1048
2023,INND,984
2024,INND,1223
2020,INPU,504
2021,INPU,1151
2022,INPU,1250
2023,INPU,1039
2024,INPU,861
2021,INST,848
2022,INST,849
2023,INST,796
2024,INST,936
2021,INTA,79
2022,INTA,77
2023,INTA,159
2020,INUN,679
2021,INUN,1003
2022,INUN,1081
2023,INUN,971
2024,INUN,1018
2020,INVA,461
2021,INVA,858
2022,INVA,941
2023,INVA,791
2024,INVA,748
2023,INWA,75
2021,INWS,77
2022,INWS,79
2023,INWS,76
2024,INWS,82
2020,KSPS,73
2020,KSST,761
2021,KSST,910
2022,KSST,1164
2023,KSST,1147
2024,KSST,1023
2020,KSUN,801
2021,KSUN,937
2022,KSUN,1016
2023,KSUN,985
2024,KSUN,924
2022,KYCH,93
2024,KYCH,62
2020,KYEA,728
2021,KYEA,906
2022,KYEA,1015
2023,KYEA,935
2024,KYEA,1020
2024,KYGT,77
2020,KYLO,889
2021,KYLO,1065
2022,KYLO,1057
2023,KYLO,1133
2024,KYLO,1040
2020,KYMO,536
2021,KYMO,1002
2022,KYMO,973
2023,KYMO,854
2024,KYMO,821
2020,KYMU,544
2021,KYMU,891
2022,KYMU,899
2023,KYMU,817
2024,KYMU,956
2021,KYST,56
2022,KYST,60
2024,KYST,67
2022,KYTM,74
2020,KYUN,827
2021,KYUN,1030
2022,KYUN,972
2023,KYUN,900
2024,KYUN,900
2020,KYWE,918
2021,KYWE,1264
2022,KYWE,1237
2023,KYWE,1084
2024,KYWE,1096
2020,LAGR,340
2021,LAGR,845
2022,LAGR,837
2023,LAGR,900
2024,LAGR,936
2021,LALC,79
2022,LALC,89
2024,LALC,116
2020,LAMC,610
2021,LAMC,942
2022,LAMC,834
2023,LAMC,753
2024,LAMC,975
2020,LANE,787
2021,LANE,1047
2022,LANE,938
2023,LANE,945
2024,LANE,877
2020,LANI,667
2021,LANI,975
2022,LANI,958
2023,LANI,899
2024,LANI,1034
2020,LANW,538
2021,LANW,983
2022,LANW,1045
2023,LANW,536
2024,LANW,891
2020,LASE,663
2021,LASE,1217
2022,LASE,1127
2023,LASE,892
2024,LASE,998
2020,LASO,418
2021,LASO,897
2022,LASO,946
2023,LASO,807
2024,LASO,1083
2020,LAST,966
2021,LAST,1076
2022,LAST,1187
2023,LAST,1033
2024,LAST,1077
2020,LASW,886
2021,LASW,1158
2022,LASW,1078
2023,LASW,1031
2024,LASW,1082
2020,LATC,871
2021,LATC,1019
2022,LATC,1027
2023,LATC,984
2024,LATC,1076
2020,LATU,1016
2021,LATU,1002
2022,LATU,1131
2023,LATU,1078
2024,LATU,1083
2023,MAAI,78
2022,MAAS,85
2020,MABC,912
2021,MABC,938
2022,MABC,993
2023,MABC,1082
2024,MABC,1028
2021,MAHA,830
2022,MAHA,809
2023,MAHA,775
2024,MAHA,809
2020,MAHC,289
2021,MAHC,1080
2022,MAHC,1053
2023,MAHC,853
2024,MAHC,919
2020,MAMK,224
2021,MAMK,862
2022,MAMK,864
2023,MAMK,845
2024,MAMK,795
2022,MAST,735
2023,MAST,861
2024,MAST,816
2020,MAUN,281
2021,MAUN,938
2022,MAUN,981
2023,MAUN,926
2024,MAUN,995
2021,MDBO,71
2023,MDBO,79
2024,MDFR,77
2021,MDMO,808
2022,MDMO,828
2023,MDMO,770
2024,MDMO,906
2020,MDNA,753
2021,MDNA,955
2022,MDNA,996
2023,MDNA,917
2024,MDNA,951
2021,MDTO,891
2022,MDTO,876
2023,MDTO,863
2024,MDTO,914
2020,MDUN,387
2021,MDUN,1133
2022,MDUN,1108
2023,MDUN,1038
2024,MDUN,1036
2020,MEUN,324
2021,MEUN,878
2022,MEUN,902
2023,MEUN,878
2024,MEUN,887
2020,MICE,527
2021,MICE,1170
2022,MICE,995
2023,MICE,962
2024,MICE,924
2022,MICO,77
2020,MIEA,508
2021,MIEA,1107
2022,MIEA,1087
2023,MIEA,971
2024,MIEA,1062
2023,MIFE,152
2020,MIST,599
2021,MIST,1076
2022,MIST,934
2023,MIST,927
2024,MIST,901
2021,MITC,72
2022,MITC,78
2020,MIUN,482
2021,MIUN,1153
2022,MIUN,1169
2023,MIUN,1112
2024,MIUN,959
2020,MIWE,494
2021,MIWE,1152
2022,MIWE,977
2023,MIWE,1055
2024,MIWE,1001
2021,MNST,805
2022,MNST,853
2023,MNST,793
2024,MNST,926
2023,MNSW,71
2020,MNUN,579
2021,MNUN,1022
2022,MNUN,1023
2023,MNUN,1005
2024,MNUN,985
2020,MOLN,83
2021,MOLW,66
2022,MOLW,900
2023,MOLW,801
2024,MOLW,955
2022,MORO,78
2022,MOSB,73
2023,MOSB,89
2020,MOSE,646
2021,MOSE,908
2022,MOSE,1015
2023,MOSE,927
2024,MOSE,1156
2020,MOSW,813
2021,MOSW,1033
2022,MOSW,854
2023,MOSW,840
2024,MOSW,942
2020,MOUN,864
2021,MOUN,1120
2022,MOUN,1078
2023,MOUN,1062
2024,MOUN,1099
2020,MOWE,78
2022,MOWJ,103
2021,MSAL,914
2022,MSAL,918
2023,MSAL,831
2024,MSAL,981
2020,MSCO,80
2022,MSCO,76
2023,MSCO,84
2021,MSDE,81
2022,MSDE,86
2023,MSDE,193
2020,MSJA,523
2021,MSJA,994
2022,MSJA,1119
2023,MSJA,927
2024,MSJA,1067
2020,MSSO,790
2021,MSSO,937
2022,MSSO,1020
2023,MSSO,1039
2024,MSSO,909
2020,MSST,923
2021,MSST,1158
2022,MSST,1114
